n,x,y
20289,310.0,258.5
20320,310.0,261.5
20351,310.0,262.0
20382,310.5,262.5
20415,310.0,262.0
20445,309.0,262.0
20477,309.5,262.0
20509,310.0,261.0
20539,310.0,260.5
20570,309.5,260.0
20616,310.0,260.0
20647,310.5,259.5
20679,310.0,260.5
20726,310.0,260.5
20757,310.0,260.5
20788,310.0,259.5
20820,310.0,260.5
20851,310.5,260.0
20884,310.0,259.5
20914,310.0,260.0
20946,310.0,260.0
20976,309.5,259.5
21009,309.5,259.5
21041,309.0,261.0
21071,309.0,259.5
21102,309.0,260.5
21150,309.0,259.5
21180,309.0,259.5
21213,309.0,258.5
21246,309.0,260.0
21276,309.0,258.5
21308,309.0,259.0
21339,308.5,259.5
21385,309.5,259.5
21417,308.5,260.0
21446,308.5,259.5
21478,309.0,259.0
21509,309.0,259.0
21539,308.0,258.5
21586,308.5,258.5
21617,308.5,258.5
21648,308.5,258.5
21681,308.0,258.0
21711,308.0,259.5
21742,308.0,259.0
21789,307.5,258.0
21819,308.0,260.5
21850,308.0,259.0
21881,307.5,260.0
21913,308.5,259.0
21944,307.5,259.5
21990,308.0,259.5
22022,307.5,259.5
22053,308.0,259.5
22084,308.0,259.5
22115,308.0,259.5
22146,307.5,258.5
22177,307.5,259.5
22209,308.0,258.5
22239,307.5,259.0
22271,307.0,260.0
22303,307.0,258.5
22333,307.0,258.5
22381,306.5,259.5
22428,307.5,258.5
22459,307.5,259.0
22489,307.0,259.5
22522,308.0,258.5
22551,307.5,259.0
22582,307.5,260.5
22613,307.5,259.5
22645,307.5,259.5
22675,307.0,260.0
22706,307.5,260.0
22738,307.0,260.0
22770,307.5,260.5
22801,308.0,259.0
22848,307.5,260.5
22880,307.0,260.5
22910,307.0,260.5
22944,307.0,260.5
22989,306.5,260.0
23019,307.5,261.0
23051,307.0,260.0
23082,307.5,259.5
23114,307.0,261.0
23144,308.5,260.0
23177,308.5,260.0
23207,307.5,261.0
23241,308.0,261.5
23286,308.0,261.0
23317,308.0,261.0
23347,308.5,262.5
23379,308.5,263.5
23409,308.0,262.5
23442,308.0,262.0
23472,308.0,260.0
23502,308.5,260.5
23548,308.0,261.5
23579,308.0,260.5
23611,308.0,261.0
23643,308.0,260.5
23690,308.0,262.0
23721,307.5,262.0
23752,308.0,261.5
23783,308.0,262.0
23814,308.0,262.5
23846,308.5,262.0
23876,308.0,262.5
23908,308.0,262.5
23938,308.5,262.5
23971,308.5,263.0
24001,308.0,262.0
24033,309.0,262.5
24064,309.5,262.5
24109,308.5,262.5
24143,309.0,262.5
24189,309.0,262.5
24217,309.5,262.5
24248,309.5,262.5
24278,309.0,263.0
24309,309.0,262.5
24341,309.5,263.0
24373,309.0,262.0
24405,308.5,263.0
24434,308.0,262.5
24466,308.5,263.5
24498,309.0,262.5
24546,308.5,262.0
24575,309.0,263.0
24606,308.5,262.0
24637,308.5,261.5
24684,308.5,260.5
24715,309.0,260.0
24747,308.5,261.0
24777,309.0,261.0
24809,309.0,260.5
24841,308.5,261.0
24870,309.0,261.5
24903,308.5,260.5
24933,309.0,259.5
24980,309.5,259.5
25011,309.5,259.5
25044,309.5,259.0
25074,309.5,260.0
25104,309.5,259.5
25136,310.0,258.5
25170,309.5,259.0
25201,310.0,257.5
25247,310.0,259.5
25278,310.0,257.0
25308,310.0,257.5
25339,310.0,257.0
25385,311.0,258.0
25416,310.5,257.0
25449,311.0,257.5
25482,310.5,256.5
25514,311.0,257.0
25546,311.5,257.0
25574,311.5,257.5
25607,312.0,256.0
25638,312.5,256.5
25668,312.0,256.5
25699,312.0,258.0
25732,312.0,257.5
25761,313.0,256.5
25809,313.0,257.5
25841,312.5,257.0
25872,313.5,257.5
25918,313.5,257.0
25952,313.0,257.0
25981,312.5,257.0
26014,313.0,256.5
26044,313.0,257.5
26074,312.5,256.5
26105,313.0,257.0
26136,314.0,256.5
26168,313.0,257.0
26198,314.0,257.0
26245,313.5,256.5
26276,314.0,257.0
26308,313.0,256.5
26339,313.5,257.5
26369,313.0,257.0
26401,313.0,257.5
26432,313.0,257.0
26464,313.0,256.5
26498,313.0,257.0
26526,312.5,256.5
26560,312.5,256.5
26607,312.0,256.5
26635,312.5,256.0
26682,312.0,256.0
26712,310.5,258.0
26745,310.5,260.0
26775,309.5,259.0
26807,310.5,258.0
26840,310.5,256.0
26871,310.0,256.0
26901,310.0,255.5
26932,309.5,255.5
26963,309.5,255.5
26993,309.5,254.5
27025,310.0,254.5
27072,310.5,253.5
27104,311.0,253.5
27135,312.5,253.0
27183,312.0,252.5
27214,313.5,252.5
27243,314.0,253.0
27276,315.5,253.5
27308,317.0,253.5
27338,318.5,253.5
27368,320.0,253.5
27400,320.5,253.0
27430,321.5,253.0
27464,322.0,253.5
27510,322.0,253.0
27541,323.0,253.0
27574,324.5,252.0
27605,326.0,251.5
27636,326.5,251.0
27668,327.5,250.0
27698,329.0,248.5
27731,330.0,247.5
27760,330.0,245.5
27792,331.0,244.0
27837,331.5,242.5
27868,331.5,240.0
27898,332.0,238.0
27948,332.0,235.5
27978,332.5,233.5
28010,333.0,230.5
28042,333.0,227.0
28074,334.0,224.5
28105,334.0,221.5
28136,333.5,219.0
28168,333.5,216.5
28199,333.0,214.0
28232,332.0,212.0
28263,331.0,210.0
28294,330.0,208.5
28326,328.5,206.5
28373,326.5,205.5
28411,325.5,205.5
28459,324.0,205.0
28500,323.0,206.0
28531,322.5,206.5
28566,322.0,207.0
28610,322.0,207.5
28641,322.0,208.0
28671,322.0,207.0
28706,322.0,207.0
28733,322.0,207.0
28764,322.0,207.0
28796,322.5,208.0
28828,323.5,207.5
28860,323.0,208.0
28891,324.5,208.0
28920,325.5,207.5
28953,326.0,207.0
28983,326.0,206.0
29012,326.0,204.5
29046,327.0,202.5
29078,329.5,203.5
29112,332.5,202.5
29141,334.0,201.5
29169,335.5,200.0
29202,336.5,200.5
29235,338.5,199.0
29264,340.0,199.5
29296,344.5,198.5
29327,346.0,200.5
29358,348.5,201.0
29405,350.5,201.0
29436,352.0,201.5
29469,354.0,202.0
29502,355.5,202.0
29534,356.5,200.5
29567,357.5,201.5
29597,358.5,201.0
29642,359.5,200.5
29675,360.0,200.5
29707,361.5,200.0
29738,362.5,201.0
29770,362.5,201.0
29800,363.0,201.5
29832,364.0,202.0
29862,363.0,201.5
29895,363.0,202.0
29926,363.0,201.5
29958,363.0,202.5
29989,363.0,202.5
30020,363.5,202.0
30068,364.0,202.0
30100,363.5,202.0
30133,365.0,202.5
30161,365.0,202.5
30193,365.0,203.0
30223,365.5,202.5
30255,366.0,203.5
30285,367.0,203.0
30318,366.5,203.0
30367,367.5,203.0
30402,367.5,203.0
30446,367.0,203.0
30478,367.0,203.0
30506,367.5,203.5
30538,366.5,204.0
30569,366.0,204.0
30602,366.5,205.0
30633,366.0,204.5
30663,366.5,205.0
30695,366.0,205.0
30727,365.5,205.5
30758,365.5,205.5
30788,364.5,205.5
30821,363.0,204.5
30853,362.5,203.5
30896,362.5,203.5
30929,361.5,203.5
30960,361.0,204.0
30991,360.5,204.5
31038,360.0,205.5
31067,359.5,205.0
31098,360.5,207.0
31130,360.5,208.0
31161,360.0,208.5
31191,359.5,209.0
31223,360.0,209.0
31254,360.5,208.0
31284,362.0,207.5
31331,365.0,206.5
31363,369.0,207.5
31401,371.5,207.0
31443,373.0,207.0
31475,373.5,206.5
31502,374.0,207.0
31533,374.5,207.5
31566,375.0,208.5
31595,375.5,209.0
31626,375.5,210.0
31658,375.5,211.0
31688,376.0,211.5
31720,376.0,211.0
31768,377.0,211.0
31799,377.0,211.0
31832,377.0,210.0
31861,376.5,210.0
31891,376.5,209.5
31923,375.5,209.0
31959,374.5,208.5
32000,372.5,208.5
32042,371.5,208.0
32080,368.5,208.0
32113,367.5,208.0
32146,365.5,207.0
32175,365.0,208.0
32205,363.5,208.0
32241,363.0,208.0
32273,363.0,208.5
32304,363.5,208.5
32332,363.5,209.0
32367,363.5,209.5
32410,363.0,210.0
32442,362.0,210.5
32477,360.0,210.0
32516,359.5,209.5
32549,358.5,210.0
32598,357.0,210.0
32631,356.0,210.0
32661,355.0,210.0
32693,355.0,210.0
32728,354.0,210.0
32771,354.0,210.0
32799,353.0,209.5
32834,352.5,209.5
32863,352.0,209.0
32894,352.0,208.5
32930,351.5,208.5
32979,351.5,209.0
33019,351.5,209.5
33051,351.0,209.5
33081,351.5,209.5
33112,351.5,209.5
33146,351.5,210.0
33178,351.0,210.5
33210,351.5,211.5
33244,351.5,213.0
33274,352.0,213.0
33302,352.0,212.5
33334,352.5,212.5
33362,353.0,212.5
33394,353.5,212.0
33425,354.0,212.5
33466,355.0,213.0
33502,354.5,213.0
33535,355.5,213.5
33565,356.5,216.0
33600,357.0,218.0
33634,356.5,217.0
33664,357.0,215.5
33712,358.0,215.0
33755,357.5,214.5
33786,357.0,214.5
33816,357.5,215.0
33849,357.5,215.0
33884,357.0,214.5
33929,357.5,215.0
33983,357.0,215.0
34019,357.5,214.5
34054,357.5,215.0
34098,357.5,216.5
34129,358.0,216.0
34177,359.5,214.5
34209,360.5,214.0
34244,362.5,214.0
34291,363.0,213.0
34335,363.5,213.0
34366,364.0,213.0
34383,366.5,213.0
34413,367.5,213.5
34442,369.0,215.0
34478,370.5,214.5
34519,371.5,215.5
34551,372.5,216.0
34584,374.0,216.5
34615,375.5,217.5
34648,376.5,218.0
34680,378.0,218.0
34725,379.5,218.0
34756,380.0,218.5
34790,380.5,218.0
34820,381.5,218.0
34857,382.0,218.0
34902,383.0,218.5
34937,383.5,218.5
34975,384.5,218.0
35010,384.0,218.5
35047,384.5,218.5
35090,384.0,218.5
35138,384.0,219.0
35188,384.0,219.5
35256,384.0,219.5
35294,381.0,220.0
35328,380.0,220.0
35390,379.5,220.0
35439,377.5,220.5
35481,377.5,220.5
35518,377.0,221.0
35564,376.5,221.0
35609,376.0,221.5
35653,375.5,222.0
35682,376.0,222.0
35717,376.5,222.0
35748,376.0,222.5
35781,376.0,222.0
35811,375.5,221.5
35858,376.0,220.5
35893,375.5,220.5
35936,376.0,220.5
35969,375.5,221.0
35996,375.0,221.0
36032,376.0,221.0
